date,modality,quality,file_count,total_size
2024-08-31,image,l,2921,3931301225
2024-09-01,image,l,2543,3470736338
2024-09-01,audio,l,2491,106549128
2024-09-01,image,h,2933,3129073205
2024-09-01,audio,h,2922,124791545
2024-09-02,audio,h,3411,145716749
2024-09-02,image,l,2951,4017319638
2024-09-02,image,h,3491,3804448670
2024-09-02,audio,l,2842,121396975
2024-09-03,audio,l,1,43893
2024-09-03,image,h,3764,4007394529
2024-09-03,image,l,1372,805921637
2024-09-04,audio,h,3844,164123408
2024-09-04,image,h,3851,4116896005
2024-09-04,image,l,1620,936112302
2024-09-04,audio,l,1598,68369159
2024-09-05,image,h,4116,4343005201
2024-09-05,image,l,1551,880260921
2024-09-05,audio,l,1531,65465163
2024-09-05,audio,h,4107,175358981
2024-09-06,image,h,4389,4550533343
2024-09-06,image,l,2295,1279524352
2024-09-06,audio,h,4381,187201891
2024-09-06,audio,l,2278,97245320
2024-09-07,audio,l,1755,74939480
2024-09-07,image,l,1779,986561522
2024-09-07,image,h,3970,3868126743
2024-09-07,audio,h,3964,169261183
2024-09-08,audio,l,1681,71887120
2024-09-08,image,l,1698,988617024
2024-09-08,image,h,4393,4672887896
2024-09-08,audio,h,4350,185756977
2024-09-09,audio,l,2136,91168739
2024-09-09,image,h,3659,3834676337
2024-09-09,audio,h,3654,156054009
2024-09-09,image,l,2180,2742411387
2024-09-10,audio,h,3698,158106287
2024-09-10,audio,l,838,35773341
2024-09-10,image,l,846,1190487328
2024-09-10,image,h,3706,3982903652
2024-09-11,audio,h,3795,162067710
2024-09-11,image,h,3804,4073995646
2024-09-12,audio,h,3880,165884999
2024-09-12,image,h,3885,4262630846
2024-09-13,audio,l,1673,71544250
2024-09-13,audio,h,4099,175231659
2024-09-13,image,l,1705,2714762438
2024-09-13,image,h,4108,4577885015
2024-09-14,audio,l,3268,139593658
2024-09-14,image,h,4147,4590514046
2024-09-14,image,l,3507,5291008718
2024-09-14,audio,h,3969,169306204
2024-09-15,audio,h,3921,167454245
2024-09-15,image,h,3966,4333770643
2024-09-15,image,l,3323,5001577191
2024-09-15,audio,l,3185,135983397
2024-09-16,audio,h,2925,125015119
2024-09-16,audio,l,3012,128646939
2024-09-16,image,l,3101,4705273286
2024-09-16,image,h,2927,928628264
2024-09-17,audio,h,3537,151036980
2024-09-17,audio,l,3147,134469011
2024-09-17,image,l,3218,4881311743
2024-09-17,image,h,3546,3155338406
2024-09-18,image,l,3345,5237487609
2024-09-18,audio,l,3273,139768555
2024-09-18,audio,h,3882,165866544
2024-09-18,image,h,3889,4004098033
2024-09-19,image,h,3691,3981347309
2024-09-19,audio,l,3100,132506984
2024-09-19,audio,h,3682,157278854
2024-09-19,image,l,3189,4798072308
2024-09-20,audio,h,4099,175054182
2024-09-20,audio,l,3410,145722757
2024-09-20,image,h,4108,4095880636
2024-09-20,image,l,3497,5352161787
2024-09-21,audio,h,3727,159037338
2024-09-21,audio,l,3113,132887794
2024-09-21,image,h,3751,3877411095
2024-09-21,image,l,3216,4919271034
2024-09-22,audio,l,2909,124283794
2024-09-22,audio,h,3484,148858798
2024-09-22,image,l,2997,4513373789
2024-09-22,image,h,3497,3624254019
2024-09-23,image,h,3459,3315500238
2024-09-23,audio,l,2926,125029760
2024-09-23,audio,h,3449,147277501
2024-09-23,image,l,2967,4484439686
2024-09-24,audio,h,3645,155677957
2024-09-24,image,h,3650,3538491091
2024-09-24,image,l,3150,4747841529
2024-09-24,audio,l,3080,131608106
