date,snd_lvl_mean,dba_mean,dba_p90,n_events
2024-09-19,48.355547765557006,71.90766045608908,79.08006248272049,7234
2024-09-20,46.57698519279443,72.97956353994589,80.04634778783308,7956
2024-09-21,51.98433957557099,73.22946322745864,79.97667079378182,7269
2024-09-22,53.325472803008665,73.4331493800261,80.18056598197133,6767
2024-09-23,50.084515514279424,74.75091346782183,81.4782641286705,6777
2024-09-24,50.34610137946385,74.61276889199058,81.45206047879041,7143
2024-09-25,47.85480297440697,75.44861749940706,81.93237133370228,7228
2024-09-26,47.760202949992866,76.83514959314762,82.90725216775792,5651
2024-09-27,56.66654522967949,75.31210765776413,81.48061616639093,4231
2024-09-28,51.175913285013436,74.78001838718151,81.09072235355923,3807
2024-09-29,45.49787369585152,77.45028894113474,83.45420619258252,2939
2024-09-30,56.04610582538363,75.81756959038528,82.07268416619877,3562
2024-10-01,50.40358167974264,74.91738311390581,81.2898514442916,3635
2024-10-02,52.30519424185958,75.21178406214541,81.7025294579733,3819
2024-10-03,49.75071245983337,74.03703069921356,80.40434355231145,4110
2024-10-04,56.65294872303394,74.4416858174475,80.71658216178844,4339
2024-10-05,58.921520462699576,72.89114622580841,79.42625285986655,4196
2024-10-06,52.11790366538094,72.34446418577606,78.72717374713814,3931
2024-10-07,47.23284679556027,72.46901610116389,79.04704990943853,4969
2024-10-08,51.004845248812174,73.56490319553086,80.10741006323153,7433
2024-10-09,46.592828295141864,73.49117205850949,80.28937920403588,7136
2024-10-10,48.36280216417678,73.94102847368083,80.37327682186235,7904
2024-10-11,51.29699079636748,73.50765633024064,79.83620479108635,8975
2024-10-12,49.51077117027602,72.23731649480408,78.01741261126362,12021
2024-10-13,41.39728226344658,75.59085455363538,81.68041311386939,7412
2024-10-14,47.616791268980954,76.0323091741432,82.28276942756636,6254
2024-10-15,47.07709016690417,75.33681010186298,81.8720805579277,7026
2024-10-16,64.41517476309414,76.28981218950685,81.11447837150126,5502
2024-10-17,48.775402346023846,74.21392632227774,80.93999614431286,7262
2024-10-18,48.85758547574616,73.0131065062427,79.68952282768778,6111
2024-10-19,55.81233257096626,72.6568456406167,79.02330515151516,6600
2024-10-20,78.65950890878715,73.03801112347678,79.30465580736544,4236
2024-10-21,54.56399047032771,72.35753019188529,78.83633072236728,5745
2024-10-22,55.880253729112596,71.64517431219316,78.26535966445299,5722
2024-10-23,51.14386051370246,72.1993572220395,78.57046047582502,7818
2024-10-24,48.909088473131625,72.70949284740198,79.37017387492693,6844
2024-10-25,47.36166449440258,73.19007598511104,79.99939083557952,7420
2024-10-26,45.82956188388572,72.47641272563119,79.31034710743802,6655
2024-10-27,43.650709764287015,72.05209792446193,79.33008898589658,5956
2024-10-28,45.24573387578638,74.143999651797,81.44564020323912,6298
2024-10-29,52.48350354302179,76.3879237714715,83.31189094874591,6419
2024-10-30,50.52576010758989,74.0885706664475,81.13443897338402,5260
2024-10-31,58.31309213677909,72.8280886102824,79.8390803917945,5411
2024-11-02,42.00072781059668,71.03060421724665,77.93562881035878,3707
2024-11-03,39.498791918772916,70.87366278625663,78.85073532242541,5195
2024-11-04,45.2694095642109,74.59278029253146,81.88689857069055,5807
2024-11-05,42.86279322293646,70.54603353583701,77.12192332474227,6208
2024-11-06,41.6829384436474,68.46097844187071,74.41848988552611,6377
2024-11-07,30.70249864725332,65.70251215631076,71.40566542022792,5616
2024-11-08,27.880963736082343,66.88559410206992,72.06262290227049,2026
2024-11-09,27.729654747357642,65.8931123035243,71.55256165025786,2133
2024-11-10,29.324825338098755,67.83800462764181,73.10742808072135,2329
2024-11-11,27.820141337312865,66.89728678463254,71.79529411764706,2091
2024-11-12,28.482727513403873,67.74003744643358,72.2856181665265,2378
2024-11-13,28.806960490019467,65.73987051325867,71.3959527972028,2288
2024-11-14,46.87553994337248,74.64427262995123,81.89739383846795,1201
2024-11-15,33.63677725866658,66.74277013470908,72.07113069647464,2326
2024-11-16,33.2879056401556,67.851945230647,73.19327424400417,1918
2024-11-17,36.99864917304396,66.6106968977034,72.49730296456978,1383
2024-11-18,32.01714565925249,66.85907332048261,72.34074462768615,2001
2024-11-19,36.506115512752814,67.34367159612442,72.76727180010198,1961
2024-11-20,72.219787801065,72.99705312475184,78.33409672040023,1799
2024-11-21,49.22545904246288,79.02571409656215,86.29805362462761,1007
2024-11-22,48.7183731288395,80.5251680672269,87.15006535947713,918
2024-11-23,56.5534341814971,79.17627551020408,86.68485714285714,280
2024-11-24,2.747939899774139,46.47000000000001,58.99,1
2024-11-26,47.5105905611711,80.14857537490134,86.62253038674034,362
2024-11-27,31.860033601609672,73.59405683675953,79.58356829802776,2738
2024-11-28,51.35742741040731,83.52397040989571,91.44196943972835,589
2024-11-29,31.871549348278904,72.89364535369432,78.73114239086087,2451
2024-11-30,28.160190389113744,70.77906757421682,76.40340126291619,3484
2024-12-01,23.738770763746658,70.48512452397803,75.73626326963907,2826
2024-12-02,24.89790239828139,69.95663396174723,75.40862639338368,2781
2024-12-03,33.64950758931105,72.74962809346053,79.00559518871837,2411
2024-12-04,36.9615781237606,73.7057011667504,79.59328253223916,1706
2024-12-05,36.840396487910766,75.44183993208304,82.95837925445704,617
2024-12-06,37.951352233879454,75.50548269692163,82.68761742100767,7026
2024-12-07,34.76010353374778,75.78288199089678,82.94054137931035,5220
2024-12-08,37.3766977691466,76.28266566689017,83.09665668255049,4407
2024-12-09,49.01864573309368,80.52735211592199,87.59740411373261,4959
2024-12-10,51.262265305229526,82.03459636914347,89.3406964573269,4968
2024-12-11,55.0888877245141,82.13156276625958,89.44394135188867,4024
2024-12-12,50.96400883282932,79.78485339597786,86.93019465033838,6206
2024-12-13,43.70993163102887,76.26666759793879,83.30000711153254,8437
2024-12-14,41.90309459287403,76.12214026275917,83.59220398082232,6883
2024-12-15,44.34060140094396,80.05048426870748,87.62929910714286,2240
2024-12-16,39.23829758608702,76.54765362665924,83.5939674074074,2700
2024-12-17,56.77128496199301,80.38922931076527,87.35413361266295,4296
2024-12-18,47.40945090729035,76.22807470297386,82.63432505056342,6922
2024-12-19,46.30565724072407,76.80007039137605,83.40454688065645,8287
2024-12-20,48.795339487249414,81.5219039784842,88.95491875848033,5896
2024-12-21,40.57791075571334,77.92647431065717,85.17592582680176,5231
2024-12-22,38.04070687389432,77.21850166000516,84.48246705776174,4432
2024-12-23,41.52648680856509,78.29349715619075,85.14834913227358,6857
2024-12-24,42.53529850166776,78.25133658344413,85.30589865563599,4835
2024-12-25,31.95736051217981,72.59302237461642,79.26916514479521,3833
2024-12-26,42.663930772104585,77.41106097736774,84.36051664984863,4955
2024-12-27,41.49190036477395,76.22678571836968,82.591312864494,5830
2024-12-28,51.620660348407654,81.7214716633481,89.69402597402598,3542
2024-12-29,46.61890597348855,80.46049638479354,87.90221826809017,3372
2024-12-30,52.10092990615545,79.72904046212828,86.75650295306185,3217
2024-12-31,43.06137358969596,76.5666861784425,83.71867509025272,5540
2025-01-01,36.9192723986983,78.47883393383557,85.8174647887324,3053
2025-01-02,49.691211341899354,80.4192612310291,88.03547969130788,4924
2025-01-03,48.33333177032739,78.26884495195077,85.54162235844491,6199
2025-01-04,42.25763866660749,77.31265364208393,85.10491321388578,5358
2025-01-05,42.697849508392785,78.80314463797815,87.05842725409835,3904
2025-01-06,51.99296190087395,79.7957135786174,87.43694169278997,4785
2025-01-07,49.54039752930615,80.80801365914787,87.86317816764132,5130
2025-01-08,44.10213970387999,78.60575761461759,85.72538305859311,6127
2025-01-09,51.015301300292876,80.7065481902731,87.40779633907944,5627
2025-01-10,44.51081224369723,76.84062626477039,84.05728826151561,6730
2025-01-11,41.269385961872736,78.25673054018354,86.51572070779531,4182
2025-01-12,38.381489915378744,74.71635069165949,82.55375961738406,4809
2025-01-13,48.884082963565405,79.21471103814548,86.90338357196684,5308
2025-01-14,42.084093640270126,76.51828781887284,83.77790196705581,6253
2025-01-15,44.32202192251017,77.99397884936955,85.57251028155648,6322
2025-01-16,47.83982481062143,79.92601759336944,87.60202349172451,5619
2025-01-17,49.75751405898502,79.85988041963773,87.3917900172117,5810
2025-01-18,46.907952729013815,79.68844905205758,86.90266501807115,5257
2025-01-19,45.12842164691948,78.55359899510054,86.48031988541418,4189
2025-01-20,38.42316878964234,77.32461416441168,85.46207707380798,3062
2025-01-21,40.59478132439745,79.34605124448201,87.2422808678501,5070
2025-01-22,42.776413050418384,79.63039803392444,87.38592232074016,5188
2025-01-23,44.02607349355595,79.25863068762479,86.63629316081331,5410
2025-01-24,44.144642102380445,78.45291287650542,85.78521309262696,5927
2025-01-25,42.489112550481416,77.94305203494484,85.52416700120435,4982
2025-01-26,39.504587461800014,77.3861467834491,84.38568710359408,2365
2025-01-27,45.950631394333065,78.22423379912225,85.28421965098634,5272
2025-01-28,46.22168284682684,78.3508939403031,85.66236717104003,5221
2025-01-29,48.418452026078974,78.65003280555484,85.71206175263251,5603
2025-01-30,46.40034231098932,78.72641523943261,86.86388976654379,5697
2025-01-31,49.40563145329343,80.9076381700324,88.5269457591623,4775
2025-02-01,49.33673680324133,80.39686721352513,89.17073797007683,4946
2025-02-02,48.78579765316929,82.25078929332928,90.68523987206824,3752
2025-02-03,43.77629131728338,77.78483665732959,84.80454405228758,3825
2025-02-04,53.198042333839105,80.23743408675034,87.88479162908173,5543
2025-02-05,53.41782195109119,80.12334514369624,88.63483418502203,5675
2025-02-06,43.66267692386347,74.47778297636377,81.86430131004367,1374
2025-02-07,48.782098434372784,78.75432101418134,85.98641598624839,4654
2025-02-08,45.50806368168125,79.0971855883094,86.81188571428571,4725
2025-02-09,30.58576894220778,72.6725829499121,80.32068342498036,1273
2025-02-10,34.109212079565786,75.31761726580771,82.59237842656563,4487
2025-02-11,39.10237831249022,77.64199135839219,84.83050577760939,5279
2025-02-12,37.59456721662697,78.11484347520225,85.26147731269785,2843
2025-02-13,36.87641977401005,78.85253194299618,85.43127007299269,3425
2025-02-14,41.04629124997435,78.88939543389723,86.11956480263157,6080
2025-02-15,40.36918885918345,79.59462326377977,86.86945754509459,4546
2025-02-16,30.94747976343631,71.27869011869012,76.94741741741741,999
2025-02-17,33.480104302473826,74.19882520550192,78.86855359448988,2323
2025-02-18,33.47101987808339,74.2813659059683,79.99802955665024,2842
2025-02-19,34.37074328256934,74.52425069060774,80.9175932320442,2896
2025-02-20,34.42868143248223,75.2829380952381,81.90920714285714,2800
2025-02-21,36.23836909793874,76.69314277175305,82.89011954572625,3346
2025-02-22,32.62070862767288,76.14571094703908,83.11443309294872,4992
2025-02-23,33.75715544050218,76.28982094551075,83.29589269612264,4436
2025-02-24,45.44911068154691,78.85467652251825,85.17523335178012,5421
2025-02-25,45.915094686713324,79.00127291860572,85.69904278922345,5679
2025-02-26,47.377058137790186,78.35873600318789,85.40861255230126,5975
2025-02-27,49.54693044292329,81.73820448463152,88.85687304219643,5427
2025-02-28,76.2603663245767,79.47330702663652,85.52058377308707,6064
2025-03-01,46.792060418991944,77.45524473238433,85.3359704597462,4807
2025-03-02,39.03539675641611,77.4974255030389,86.21139529120198,4035
2025-03-03,52.70013177757795,78.88658396775638,86.3901880877743,3190
2025-03-04,55.38065247235943,79.04915062102937,86.45569618085288,5839
2025-03-05,55.80691086511939,80.27208199145248,87.37668864313058,4702
2025-03-06,51.254908312160495,79.85943194600675,87.44369394043136,5842
2025-03-07,49.55098723436829,79.18086386922577,86.9946405054872,6014
2025-03-08,44.73105465974986,76.97710194764771,85.68657812824237,4819
2025-03-09,42.2790216920251,76.62085144879231,85.60085230984602,4286
2025-03-10,48.69405673480755,75.3541725403818,83.85623744493392,4540
2025-03-11,53.92952800565604,75.77515771488002,83.42369422776912,3205
2025-03-12,46.861638579207494,75.45588667833348,83.5765538362347,3102
2025-03-13,51.17372792528323,78.12168365079364,85.72231000000001,3300
2025-03-14,51.72431481316808,76.221545923804,83.9067073525138,3441
2025-03-15,46.72891492830133,78.56232481391802,86.14744783427494,2655
2025-03-16,48.57304840041641,79.389763449402,85.99401760889712,2158
2025-03-17,49.48882949563537,80.2795949410067,87.70741532976827,2805
2025-03-18,49.4814398869561,76.80478770486725,84.8347560182173,3074
2025-03-19,55.711450144649575,76.26112435843521,83.93047117354403,3417
