date,n_audio,rms_dbfs_mean,rms_dbfs_p10,rms_dbfs_p90,zcr_mean,zcr_std,duration_mean,file_size_mean
2024-10-17,6808,-57.07326347987604,-61.93245277404785,-51.110194778442384,0.025396033963970277,0.007417216008195472,5.248412162162161,42704.35766745006
2024-10-18,5755,-57.18341040855693,-62.116572570800784,-50.675916290283205,0.024945452197497286,0.007134366648329597,5.24522560092673,42679.32163336229
2024-10-19,6254,-56.701622281320034,-61.855830383300784,-50.22927017211915,0.024261459604994064,0.007591173527504427,5.2491634154141344,42710.70466901183
2024-10-20,4120,-55.10614755824932,-61.68753433227539,-44.58222007751465,0.021755591571273675,0.008081554738122691,5.24921779935275,42711.157281553395
2024-10-21,5483,-56.86282031483488,-62.07982788085937,-49.74786758422851,0.0245487072711302,0.007695808486104193,5.249553893853729,42713.49972642714
2024-10-22,5495,-56.70309746614687,-62.1664321899414,-48.989202117919895,0.02421714527830002,0.007689687478428397,5.247390354868062,42696.63111919927
2024-10-23,7317,-57.039270087931996,-62.05259780883789,-50.535425567626945,0.02510331014584087,0.0072252099576225965,5.251533597558197,42729.40317069837
2024-10-24,6486,-57.33636986470465,-62.38713073730469,-50.73156547546387,0.02493134637282512,0.007444324058405269,5.251082742316784,42725.94896700586
2024-10-25,6933,-57.44688654406735,-62.421881103515624,-50.915008544921875,0.025214671685466226,0.0070811279853270695,5.247983172267897,42701.40357709505
2024-10-26,6293,-57.72194028169689,-62.58207702636719,-51.280783081054686,0.025591128470747074,0.00755593546687726,5.251636209544996,42730.54679802956
2024-10-27,5624,-58.550339102236336,-63.07737655639649,-52.8713363647461,0.026192660660362046,0.008151471700517875,5.249660028449502,42714.72386201991
2024-10-28,5956,-57.75825836387875,-62.52414321899414,-51.413103103637695,0.026999486002721212,0.007570056304647231,5.248291582717707,42703.83159838818
2024-10-29,6092,-56.91678078270084,-61.94994888305664,-50.34228668212891,0.02670086159152768,0.007362281837678759,5.250040709126724,42717.28250164149
2024-10-30,5083,-56.996847009368004,-61.99391555786133,-50.762263488769534,0.026667943621420984,0.007483133592429583,5.2490407239819,42709.73106433209
2024-10-31,5201,-56.62261007125963,-62.23043441772461,-48.9759635925293,0.024259514063721115,0.007735872098421684,5.2511728513747356,42726.65275908479
2024-11-01,3903,-56.96945456569084,-62.134193420410156,-49.993892669677734,0.024406109404804765,0.007871997006806058,5.256280809633615,42767.63361516782
2024-11-02,3348,-58.343561067660936,-62.99240379333496,-52.43038368225098,0.02540873400336172,0.008148214809135513,5.25294902429311,42740.982974910396
2024-11-03,4828,-59.17587061015258,-63.836533355712895,-53.403719711303715,0.02773100310252816,0.010302916653311234,5.245645125655896,42682.2966031483
2024-11-04,5420,-57.733374203966996,-62.69509086608887,-51.66891860961914,0.026946420656809036,0.007974317298556006,5.251539360393603,42729.27232472325
2024-11-05,5353,-58.059772243460564,-63.566497802734375,-51.00010833740234,0.024580059856801794,0.0076044854779457665,5.248674761815804,42706.65738838035
