date,n_images,blur_mean,brightness_mean,contrast_mean,file_size_mean
2024-08-29,7049,5339.493862057395,111.10437939714618,58.463879154901804,93831.95971059725
2024-08-30,7771,5722.200419063565,106.14210338540985,61.765101724756434,95972.8634667353
2024-08-31,6415,5406.572807301308,110.8630894435725,58.197663052232585,93715.7914263445
2024-09-01,5476,5864.69270912098,109.08349769597858,57.2515194428237,96174.36212563915
2024-09-02,6442,6563.965121999064,104.06767820816016,62.97894086603865,98100.91803787644
2024-09-03,5136,4885.790892960498,103.21434886581801,61.716884991832984,83773.68496884734
2024-09-04,5471,4532.357893511313,105.72313204057428,60.069780264317366,82091.5223907878
2024-09-05,5667,4518.904306083587,104.02380103721639,60.77390270256714,82779.54579142404
2024-09-06,6684,3816.664487207528,109.98071068764304,56.961326338301724,76903.09126271693
2024-09-07,5749,3188.821513785261,112.83557134612703,54.72870638043305,74568.2744825187
2024-09-08,6091,4668.212077818291,104.80229269430724,62.159343906115126,82719.74683959941
2024-09-09,5839,6253.782209618163,104.07830636896159,60.48752190442419,93370.41445452989
2024-09-10,4552,6807.115935206622,101.24530905369924,60.577804325754066,96949.26274165203
2024-09-11,3804,6165.445641935812,104.26370514429455,59.87923223112409,95435.74579390115
2024-09-12,3885,6152.95514231796,107.86678436161468,58.329058133865416,96526.13667953668
2024-09-13,5813,7416.418619651669,107.44461419581137,60.00589710001319,100484.35902287975
2024-09-14,7654,7898.235393571019,103.62687306121276,62.6449738166835,101667.83263652991
2024-09-15,7289,7934.1579632716575,103.57262495493329,63.80267722414655,101075.6416518041
2024-09-16,6028,5780.583892791889,105.527282873684,60.93916325926702,75100.51426675514
2024-09-17,6764,7094.950393045111,106.11879951639474,60.28191625853391,92637.50709639267
2024-09-18,7234,7110.307475610237,109.8055356642407,58.99305186220253,97640.70016588333
2024-09-19,6880,7661.184754518021,105.0816359730654,61.665277751102,99884.29404069767
2024-09-20,7605,6842.813945132725,108.78227389534393,59.78331589858678,96578.43090072321
2024-09-21,6967,7290.788351243754,106.69999440438063,59.262152152063514,98540.46189177551
2024-09-22,6494,7349.179686823293,105.41580949624135,61.08495558317823,98703.33507853403
2024-09-23,6426,6510.147931951101,109.66719295212015,58.57117367473452,94915.85262994087
2024-09-24,6800,6528.792859622731,109.50614668902229,57.980534225912656,95573.51352941176
