date,n_images,blur_mean,blur_p10,brightness_mean,contrast_mean,file_size_mean_img,n_audio,rms_dbfs_mean,rms_dbfs_p10,rms_dbfs_p90,zcr_mean,zcr_std,duration_mean,file_size_mean_aud,has_images,has_audio
2025-02-03,1232,917.8901124211766,555.7919432879314,111.18633267242804,63.79128880250309,1198637.318181818,3673,-57.97542345403749,-62.59388122558594,-52.1907844543457,0.0303698958784621,0.0087345034117791,5.250387149469098,42720.18050639804,True,True
2025-02-04,0,,,,,,5301,-56.07723555774469,-60.36817169189453,-50.55077362060547,0.0325186937325046,0.0073684537035993,5.247311953719424,42695.60573476703,False,True
2025-02-05,0,,,,,,5390,-56.09342215083304,-60.4148063659668,-50.3495361328125,0.0307694895785098,0.0074916517245486,5.248099319727891,42701.865677179965,False,True
2025-02-06,0,,,,,,1337,-59.25242114584216,-64.86723480224609,-50.82423400878906,0.0233310970813071,0.0090988612766609,5.250364996260283,42719.99551234106,False,True
2025-02-07,2969,114.46297025223168,89.61462039770412,107.12837366126264,52.95633353110442,537621.4469518356,4447,-57.06741911045536,-61.52596282958984,-51.32936325073242,0.0285293029931724,0.0078140135022168,5.24691012667716,42692.36069260175,True,True
2025-02-08,0,,,,,,4537,-57.448725416819535,-61.52947235107422,-52.34768524169922,0.0321745476788132,0.0077996765103512,5.251455440452575,42728.59907427816,False,True
2025-02-09,1252,133.98281092778078,95.89408638370033,107.85603652244114,57.67525831649588,442955.8154952077,1251,-61.89802499431119,-66.3626708984375,-55.97583770751953,0.028389440472238,0.0089007201266737,5.251991473487877,42732.9520383693,True,True
2025-02-10,0,,,,,,4293,-60.15040205576302,-64.65155639648438,-54.11529006958008,0.0301972234247931,0.0089951700081353,5.251493438931594,42728.85371535057,False,True
2025-02-11,2414,957.6586236936612,608.6829330623897,111.14542135207569,62.41703305396442,1298370.3164871582,5055,-59.05644414507435,-63.61856002807618,-52.81304550170898,0.0316593705094454,0.0090889429328658,5.248319419716452,42703.78753709199,True,True
2025-02-12,2820,123.82622715522996,91.15679569966058,107.0402317718214,53.34179206923519,455660.0333333333,2812,-58.95930841535457,-63.16943969726562,-53.81868171691895,0.03232845138032,0.0080667386226646,5.252359174964438,42735.64153627311,True,True
2025-02-13,866,1064.243027951766,773.8518649337486,111.85792354145556,66.28286129873018,1319561.2240184755,3313,-59.02281139107798,-63.06291427612305,-53.87752227783204,0.0371110815003877,0.0086442931104358,5.250354562833283,42719.695140356176,True,True
2025-02-14,0,,,,,,5799,-58.39078866130094,-62.70341796875,-52.91807327270508,0.035113631718267,0.0084734805871439,5.255163533942634,42758.0655285394,False,True
2025-02-15,2112,910.4977832476492,536.9088969422188,111.28989656876703,62.04664315225908,1296573.8915719695,4376,-58.63107717712793,-62.98421669006348,-53.22768783569336,0.0349949763368635,0.0090052367955271,5.252756398537477,42739.03999085923,True,True
2025-02-16,0,,,,,,957,-61.99510096008875,-66.81683807373047,-54.99214324951172,0.0240525466770287,0.008088667371855,5.252988505747126,42740.83176593522,False,True
